"dataset","method","case_id","service","fault","repeat_no","n_train","n_cal","n_ab","alarm_fraction","detected","auc"
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_cpu_5","checkoutservice","cpu","5",180,120,300,0.973,TRUE,0.986
"RE1-OB","PCA","RE1-OB_checkoutservice_delay_1","checkoutservice","delay","1",180,120,300,0.983,TRUE,0.999
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_delay_1","checkoutservice","delay","1",180,120,300,0.117,TRUE,0.887
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_delay_1","checkoutservice","delay","1",180,120,300,0.983,TRUE,0.999
"RE1-OB","PCA","RE1-OB_checkoutservice_delay_2","checkoutservice","delay","2",180,120,300,0.99,TRUE,0.999
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_delay_2","checkoutservice","delay","2",180,120,300,0.69,TRUE,0.977
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_delay_2","checkoutservice","delay","2",180,120,300,0.993,TRUE,0.999
"RE1-OB","PCA","RE1-OB_checkoutservice_delay_3","checkoutservice","delay","3",180,120,300,0.117,TRUE,0.763
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_delay_3","checkoutservice","delay","3",180,120,300,0.623,TRUE,0.945
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_delay_3","checkoutservice","delay","3",180,120,300,0,FALSE,0.663
"RE1-OB","PCA","RE1-OB_checkoutservice_delay_4","checkoutservice","delay","4",180,120,300,0.963,TRUE,0.997
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_delay_4","checkoutservice","delay","4",180,120,300,0.013,FALSE,0.636
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_delay_4","checkoutservice","delay","4",180,120,300,0.963,TRUE,0.987
"RE1-OB","PCA","RE1-OB_checkoutservice_delay_5","checkoutservice","delay","5",180,120,300,0.953,TRUE,0.99
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_delay_5","checkoutservice","delay","5",180,120,300,0.15,TRUE,0.899
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_delay_5","checkoutservice","delay","5",180,120,300,0.95,TRUE,0.984
"RE1-OB","PCA","RE1-OB_checkoutservice_disk_1","checkoutservice","disk","1",180,120,300,0.987,TRUE,0.999
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_disk_1","checkoutservice","disk","1",180,120,300,0.033,FALSE,0.61
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_disk_1","checkoutservice","disk","1",180,120,300,0.993,TRUE,0.999
"RE1-OB","PCA","RE1-OB_checkoutservice_disk_2","checkoutservice","disk","2",180,120,300,0.91,TRUE,0.989
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_disk_2","checkoutservice","disk","2",180,120,300,0.337,TRUE,0.961
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_disk_2","checkoutservice","disk","2",180,120,300,0,FALSE,0.949
"RE1-OB","PCA","RE1-OB_checkoutservice_disk_3","checkoutservice","disk","3",180,120,300,0.983,TRUE,0.992
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_disk_3","checkoutservice","disk","3",180,120,300,0.917,TRUE,0.977
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_disk_3","checkoutservice","disk","3",180,120,300,0.983,TRUE,0.991
"RE1-OB","PCA","RE1-OB_checkoutservice_disk_4","checkoutservice","disk","4",180,120,300,0.127,TRUE,0.925
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_disk_4","checkoutservice","disk","4",180,120,300,0.007,FALSE,0.772
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_disk_4","checkoutservice","disk","4",180,120,300,0,FALSE,0.784
"RE1-OB","PCA","RE1-OB_checkoutservice_disk_5","checkoutservice","disk","5",180,120,300,0.92,TRUE,0.972
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_disk_5","checkoutservice","disk","5",180,120,300,0.023,FALSE,0.714
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_disk_5","checkoutservice","disk","5",180,120,300,0,FALSE,0.787
"RE1-OB","PCA","RE1-OB_checkoutservice_mem_1","checkoutservice","mem","1",180,120,300,0.98,TRUE,0.992
